Title,Genre,Console,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales
The Talos Principle,Puzzle,PC,N/A,N/A,N/A,N/A,N/A
The Talos Principle,Puzzle,XOne,N/A,N/A,N/A,N/A,N/A
Fallout 4,Role-Playing,PS4,8.48m,2.91m,3.97m,0.27m,1.34m
Fallout 4,Role-Playing,XOne,5.03m,2.94m,1.62m,0.02m,0.45m
Fallout 4,Role-Playing,PC,1.40m,0.57m,0.72m,N/A,0.11m
Arcade Spirits,Visual Novel,NS,N/A,N/A,N/A,N/A,N/A
Arcade Spirits,Visual Novel,PC,N/A,N/A,N/A,N/A,N/A
Arcade Spirits,Visual Novel,PS4,N/A,N/A,N/A,N/A,N/A
Arcade Spirits,Visual Novel,XOne,N/A,N/A,N/A,N/A,N/A
Medal of Honor: Frontline,Shooter,PS2,6.83m,2.93m,2.75m,0.17m,0.99m
Batman: Arkham Knight,Action,PS4,4.11m,1.65m,1.68m,0.11m,0.66m
Batman: Arkham Knight,Action,XOne,1.58m,0.97m,0.46m,N/A,0.14m
Batman: Arkham Knight,Action,PC,0.15m,0.10m,0.04m,N/A,0.01m
Burnout 3: Takedown,Racing,PS2,2.68m,1.23m,1.11m,N/A,0.34m
Dragon's Dogma,Role-Playing,PS3,1.76m,0.41m,0.48m,0.72m,0.16m
Dragon's Dogma,Role-Playing,X360,0.79m,0.42m,0.24m,0.07m,0.06m
Dragon's Dogma,Role-Playing,PC,0.01m,N/A,0.01m,N/A,0.00m
The Sims: Bustin' Out,Simulation,PS2,2.43m,1.07m,1.19m,N/A,0.18m
Call of Duty: Ghosts,Shooter,X360,10.41m,6.76m,2.64m,0.04m,0.98m
Call of Duty: Ghosts,Shooter,PS3,10.13m,4.11m,4.01m,0.39m,1.62m
Call of Duty: Ghosts,Shooter,PS4,4.17m,1.79m,1.64m,0.05m,0.69m
Call of Duty: Ghosts,Shooter,XOne,3.07m,1.92m,0.86m,N/A,0.28m
Call of Duty: Ghosts,Shooter,PC,0.67m,0.26m,0.36m,N/A,0.05m
Call of Duty: Ghosts,Shooter,WiiU,0.35m,0.22m,0.09m,0.01m,0.03m
The Elder Scrolls V: Skyrim Special Edition,Role-Playing,PS4,3.36m,1.24m,1.50m,0.08m,0.54m
The Elder Scrolls V: Skyrim Special Edition,Role-Playing,XOne,1.83m,1.13m,0.53m,N/A,0.17m
The Elder Scrolls V: Skyrim Special Edition,Role-Playing,PC,N/A,N/A,N/A,N/A,N/A
Stormrise,Strategy,PS3,0.17m,0.13m,0.02m,N/A,0.02m
Stormrise,Strategy,X360,0.15m,0.11m,0.03m,N/A,0.01m
Stormrise,Strategy,PC,0.02m,N/A,0.02m,N/A,0.00m
WipeOut 3 The Game,Party,Wii,0.40m,0.36m,N/A,N/A,0.04m
WipeOut 3 The Game,Party,X360,0.22m,0.20m,N/A,N/A,0.02m
WipeOut 3 The Game,Party,WiiU,0.13m,0.11m,N/A,N/A,0.01m
The Sims 2,Simulation,PS2,0.81m,0.67m,0.03m,N/A,0.11m
The Sims 2,Simulation,PC,0.29m,0.02m,0.24m,N/A,0.03m
Call of Duty: World at War,Shooter,X360,7.50m,4.88m,1.91m,N/A,0.71m
Call of Duty: World at War,Shooter,PS3,5.43m,2.75m,1.84m,N/A,0.84m
Call of Duty: World at War,Shooter,Wii,1.94m,1.17m,0.58m,N/A,0.18m
Call of Duty: World at War,Shooter,PC,0.18m,0.02m,0.14m,N/A,0.02m
Final Fantasy XI: Online,MMO,PS2,0.32m,0.08m,0.06m,0.15m,0.02m
Final Fantasy XI: Online,Role-Playing,X360,0.19m,0.17m,0.01m,N/A,0.01m
Final Fantasy XI: Online,Role-Playing,PC,0.00m,N/A,0.00m,N/A,N/A
Grand Theft Auto: Vice City,Action,PS2,16.15m,8.41m,5.49m,0.47m,1.78m
Grand Theft Auto: Vice City,Action,PC,0.04m,N/A,0.03m,N/A,0.00m
World Championship Poker,Misc,PS2,0.95m,0.80m,0.03m,N/A,0.13m
Digital Champ Battle Boxing,Fighting,WiiU,N/A,N/A,N/A,N/A,N/A
Kessen,Strategy,PS2,0.95m,0.27m,0.21m,0.41m,0.07m
Costume Quest 2,Misc,PC,N/A,N/A,N/A,N/A,N/A
Costume Quest 2,Role-Playing,WiiU,N/A,N/A,N/A,N/A,N/A
Costume Quest 2,Role-Playing,PS3,N/A,N/A,N/A,N/A,N/A
Costume Quest 2,Role-Playing,X360,N/A,N/A,N/A,N/A,N/A
Costume Quest 2,Role-Playing,PS4,N/A,N/A,N/A,N/A,N/A
Costume Quest 2,Role-Playing,XOne,N/A,N/A,N/A,N/A,N/A
The Legend of Zelda: Twilight Princess,Adventure,Wii,7.18m,3.74m,2.16m,0.60m,0.69m
Onimusha 2: Samurai's Destiny,Adventure,PS2,2.25m,0.62m,0.44m,1.06m,0.13m
Dragon Quest V: Tenkuu no Hanayome,Role-Playing,PS2,1.65m,N/A,N/A,1.65m,N/A
FIFA 15,Sports,PS4,6.32m,0.83m,4.49m,0.05m,0.94m
FIFA 15,Sports,PS3,4.56m,0.59m,3.25m,0.04m,0.68m
FIFA 15,Sports,X360,2.91m,0.80m,1.90m,N/A,0.21m
FIFA 15,Sports,XOne,2.19m,0.64m,1.39m,N/A,0.16m
FIFA 15,Sports,Wii,0.57m,0.15m,0.37m,N/A,0.04m
FIFA 15,Sports,PC,0.30m,N/A,0.28m,N/A,0.02m
The Walking Dead: A Telltale Games Series,Adventure,PS3,0.82m,0.40m,0.25m,0.03m,0.14m
The Walking Dead: A Telltale Games Series,Adventure,X360,0.76m,0.55m,0.13m,N/A,0.07m
The Walking Dead: A Telltale Games Series,Adventure,PS4,0.48m,0.12m,0.26m,0.03m,0.07m
The Walking Dead: A Telltale Games Series,Adventure,PC,0.03m,N/A,0.03m,N/A,0.00m
Among Us,Party,PC,N/A,N/A,N/A,N/A,N/A
Among Us,Party,NS,N/A,N/A,N/A,N/A,N/A
Among Us,Party,XOne,N/A,N/A,N/A,N/A,N/A
Among Us,Party,PS5,N/A,N/A,N/A,N/A,N/A
Among Us,Party,PS4,N/A,N/A,N/A,N/A,N/A
Aliens versus Predator: Extinction,Strategy,PS2,0.19m,0.09m,0.07m,N/A,0.02m
Tom Clancy's Splinter Cell: Pandora Tomorrow,Action,PS2,1.25m,0.52m,0.56m,N/A,0.17m
Tom Clancy's Splinter Cell: Pandora Tomorrow,Action,PC,0.00m,N/A,0.00m,N/A,0.00m
Far Cry: Primal,Action-Adventure,PS4,2.73m,0.63m,1.61m,0.07m,0.41m
Far Cry: Primal,Action-Adventure,XOne,1.00m,0.51m,0.41m,N/A,0.09m
Far Cry: Primal,Action-Adventure,PC,0.25m,0.07m,0.16m,N/A,0.02m
F1 Race Stars,Racing,PS3,0.32m,0.07m,0.20m,N/A,0.05m
F1 Race Stars,Racing,X360,0.27m,0.07m,0.18m,N/A,0.02m
F1 Race Stars,Racing,PC,0.02m,N/A,0.02m,N/A,0.00m
F1 Race Stars,Racing,WiiU,N/A,N/A,N/A,N/A,N/A
FIFA Soccer 06,Sports,PS2,4.21m,0.78m,2.55m,0.04m,0.84m
FIFA Soccer 06,Sports,PC,0.00m,N/A,0.00m,N/A,0.00m
Pac-Man World 2,Action,PS2,1.51m,1.26m,0.05m,N/A,0.21m
Pac-Man World 2,Platform,PS2,N/A,N/A,N/A,N/A,N/A
Pac-Man World 2,Platform,PC,N/A,N/A,N/A,N/A,N/A
That's You!,Party,PS4,0.04m,0.04m,N/A,N/A,0.01m
Pikmin 2,Strategy,WiiU,N/A,N/A,N/A,N/A,N/A
N/A Counts,,,410,638,585,1363,490
